Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
1414513564140904448,1414513564140904448,,0,5,5,0,5,5,9,0.219813,0.236401,0,37,0,0.005237
430882302,430882302,,5,0,5,6,0,6,0,0,0,0,9,0.001652,0
1414581209108205568,1414581209108205568,,1,1,2,1,1,2,1,1,1,0,37,0.000153,0.003445
1551211375,1551211375,,0,12,12,0,12,12,9,0.279926,0.33623,0,15,0,0.013099
438849246,438849246,,10,0,10,10,0,10,0,0,0,0,15,0.002388,0
433717645,433717645,,10,37,47,12,37,49,10,0.214509,0.258429,0.000262,19,0.005762,0.000323
1007741587995156480,1007741587995156480,,4,0,4,4,0,4,0,0,0,0,15,0.001624,0
975616683611181056,975616683611181056,,22,0,22,22,0,22,0,0,0,0,15,0.009562,0
929110006284406784,929110006284406784,,6,1,7,6,1,7,1,1,1,0.000005,15,0.003649,0
45295601,45295601,,1,1,2,2,1,3,1,1,1,0,9,0.001106,0.00007
928983246792208384,928983246792208384,,1,23,24,1,28,29,10,0.275631,0.34085,0.000008,18,0.001106,0.056485
1073339297355456512,1073339297355456512,,1,2,3,1,2,3,1,1,1,0,14,0.001106,0.001515
1227171998356443136,1227171998356443136,,1,3,4,1,4,5,10,0.204246,0.217551,0.000002,250,0.001106,0.00186
1430859677932326912,1430859677932326912,,1,2,3,1,2,3,8,0.303436,0.343252,0,9,0.001106,0.005733
1164832049963732992,1164832049963732992,,2,7,9,3,7,10,9,0.248206,0.281192,0.000017,9,0.001248,0.025616
1255863157521821696,1255863157521821696,,1,1,2,1,1,2,6,0.390411,0.429474,0.000001,9,0.001106,0.00415
1364131801619435520,1364131801619435520,,1,3,4,2,3,5,4,0.43617,0.481707,0,9,0.001106,0.000785
1436400225292259328,1436400225292259328,,2,4,6,2,4,6,9,0.257181,0.295416,0.000015,9,0.001116,0.009485
1389495200607883264,1389495200607883264,,2,6,8,4,6,10,7,0.331363,0.36772,0.000004,9,0.001182,0.032001
111966918,111966918,,3,3,6,3,3,6,8,0.24005,0.255554,0.000058,9,0.00214,0.018439
1227606981076291584,1227606981076291584,,1,5,6,1,5,6,3,0.666667,0.791667,0,5,0.001106,0.001533
1312802310830125056,1312802310830125056,,1,10,11,1,10,11,9,0.268993,0.3132,0.000008,13,0.001106,0.032485
627571631,627571631,,1,2,3,1,2,3,3,0.555556,0.666667,0,13,0.001106,0.018008
1432941587324092416,1432941587324092416,,2,15,17,2,20,22,9,0.213913,0.233865,0.000012,18,0.001116,0.021058
1295324221762142208,1295324221762142208,,2,7,9,3,8,11,11,0.195749,0.253295,0.000034,9,0.001833,0.048735
2162459239,2162459239,,2,5,7,2,5,7,2,0.727273,0.8125,0.000006,5,0.001631,0.020763
792731002900709376,792731002900709376,,24,16,40,25,18,43,3,0.651163,0.767857,0.000159,25,0.01267,0.018176
555997804,555997804,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
2902809855,2902809855,,0,2,2,0,2,2,2,0.6,0.666667,0,57,0,0.000857
1202683777530634240,1202683777530634240,,20,3,23,20,6,26,1,1,1,0.000054,57,0.008407,0
2436207123,2436207123,,0,7,7,0,8,8,9,0.279666,0.336316,0,15,0,0.012927
1613853324,1613853324,,5,10,15,5,10,15,7,0.290061,0.310761,0.000029,15,0.001584,0.000094
1182256918712205312,1182256918712205312,,1,0,1,1,0,1,0,0,0,0,15,0.000378,0
904438692,904438692,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
